Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
1710,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.11972117783006
1715,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.12364438293717
1720,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.29681332412783
1725,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.8902189790493
1730,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.09018130877166
1735,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.45113562240415
1740,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.28643869483527
1745,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.96969771300881
1750,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.43901619333704
1755,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.27668759284263
1760,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.60790954531362
1765,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.78923988207038
1770,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.54864113891426
1775,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.28205527215628
1780,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.63381594160009
1785,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.01020068952242
1790,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.91608022264096
1795,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.82476397975142
1800,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.21874445796288
1805,grid,corr,0.05,1,50.01676791587411,3.1032,10,69.38928965375098
1810,grid,corr,0.05,1,50.01676791587411,3.1032,10,69.29678673456407
1815,grid,corr,0.05,1,50.01676791587411,3.1032,10,69.1813814636663
1820,grid,corr,0.05,1,50.01676791587411,3.1032,10,69.27713230254281
1825,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.62531503386408
